"nut","nuTilda","p","wallShearStress:0","wallShearStress:1","wallShearStress:2","U:0","U:1","U:2","arc_length","Points:0","Points:1","Points:2"
0,0,-0.16678,-0.0041188,-1.1923e-21,0.0013651,0,0,0,1.0784,0.044207,-0.5,-0.033715
0,0,-0.17387,-0.0041339,-5.9838e-22,0.0012773,0,0,0,1.0834,0.048943,-0.5,-0.035224
0,0,-0.17985,-0.0041408,1.6535e-24,0.001193,0,0,0,1.0886,0.053915,-0.5,-0.0367
0,0,-0.18488,-0.0041269,-1.2123e-21,0.0011093,0,0,0,1.094,0.059119,-0.5,-0.038142
0,0,-0.18909,-0.0041048,-1.2128e-21,0.001031,0,0,0,1.0996,0.064556,-0.5,-0.039547
0,0,-0.19258,-0.0040914,-3.6734e-40,0.00096105,0,0,0,1.1054,0.070224,-0.5,-0.040915
0,0,-0.19544,-0.0040765,-1.1692e-21,0.00089503,0,0,0,1.1115,0.07612,-0.5,-0.042245
0,0,-0.19775,-0.0040576,-1.1692e-21,0.00083251,0,0,0,1.1177,0.082245,-0.5,-0.043535
0,0,-0.19957,-0.0040351,1.1349e-21,0.00077324,0,0,0,1.1242,0.088597,-0.5,-0.044785
0,0,-0.20096,-0.0040097,2.2512e-21,0.00071712,0,0,0,1.1309,0.095173,-0.5,-0.045992
0,0,-0.20194,-0.0039818,1.1163e-21,0.00066401,0,0,0,1.1378,0.10197,-0.5,-0.047157
0,0,-0.20257,-0.0039517,-1.077e-21,0.00061372,0,0,0,1.1449,0.10899,-0.5,-0.048277
0,0,-0.20287,-0.0039198,-1.077e-21,0.00056609,0,0,0,1.1522,0.11623,-0.5,-0.049353
0,0,-0.20287,-0.0038862,1.8367e-40,0.00052094,0,0,0,1.1598,0.12369,-0.5,-0.050381
0,0,-0.20259,-0.0038512,-2.8465e-39,0.00047815,0,0,0,1.1675,0.13137,-0.5,-0.051363
0,0,-0.20206,-0.0038149,-6.2133e-39,0.00043756,0,0,0,1.1754,0.13926,-0.5,-0.052295
0,0,-0.2013,-0.0037776,4.7547e-25,0.00039907,0,0,0,1.1836,0.14736,-0.5,-0.053179
0,0,-0.20031,-0.0037393,-4.5845e-25,0.00036255,0,0,0,1.1919,0.15567,-0.5,-0.054012
